Pairing ID,	Main Layover, Sequence,	Pairing Length(in days), No.of Legs, Max LNj, Min LNj, Pairing Length(in duty hours), Pairing Length(in block hours), Start time ,End time, Rest End time
53,RUH,-,4,2,1,1,37,11,4/15/2017 11:25:0,4/17/2017 1:15:0,4/18/2017 0:10:0,
54,-,-,4,2,2,2,12,10,4/18/2017 11:55:0,4/19/2017 0:0:0,4/21/2017 0:30:0,
55,-,-,3,2,2,2,5,3,4/21/2017 17:50:0,4/21/2017 23:20:0,4/23/2017 0:10:0,
56,-,-,2,2,2,2,8,7,4/23/2017 1:40:0,4/23/2017 10:35:0,4/23/2017 22:35:0,
57,RUH,-,4,2,1,1,37,11,4/26/2017 11:25:0,4/28/2017 1:15:0,4/29/2017 0:10:0,
58,-,-,2,2,2,2,11,8,4/3/2017 1:0:0,4/3/2017 12:20:0,4/4/2017 17:30:0,
59,-,-,4,2,2,2,12,10,4/6/2017 11:35:0,4/7/2017 0:0:0,4/9/2017 0:30:0,
60,-,-,2,2,2,2,10,8,4/9/2017 0:40:0,4/9/2017 11:20:0,4/10/2017 12:29:0,
61,-,-,3,2,2,2,11,9,4/10/2017 12:30:0,4/10/2017 23:55:0,4/12/2017 17:30:0,
62,SIN,-,4,4,3,1,42,11,4/13/2017 11:50:0,4/15/2017 6:5:0,4/16/2017 12:5:0,
63,-,-,3,2,2,2,10,8,4/16/2017 13:20:0,4/17/2017 0:5:0,4/18/2017 0:10:0,
64,-,-,2,2,2,2,11,9,4/20/2017 1:15:0,4/20/2017 12:20:0,4/21/2017 0:20:0,
65,BKK,-,4,4,3,1,41,10,4/21/2017 12:5:0,4/23/2017 6:0:0,4/24/2017 12:0:0,
66,-,-,3,2,2,2,7,5,4/24/2017 16:55:0,4/25/2017 0:35:0,4/26/2017 0:10:0,
67,-,-,2,2,2,2,10,8,4/29/2017 7:10:0,4/29/2017 17:20:0,4/30/2017 17:30:0,
68,-,-,3,2,2,2,5,3,4/30/2017 17:50:0,4/30/2017 23:20:0,5/2/2017 0:10:0,
69,-,-,3,2,2,2,4,2,4/3/2017 17:40:0,4/3/2017 22:30:0,4/5/2017 0:10:0,
70,-,-,2,2,2,2,11,8,4/5/2017 0:10:0,4/5/2017 11:45:0,4/6/2017 12:29:0,
71,-,-,2,2,2,2,8,7,4/7/2017 1:40:0,4/7/2017 10:35:0,4/7/2017 22:35:0,
72,-,-,2,2,2,2,10,8,4/11/2017 7:10:0,4/11/2017 17:20:0,4/12/2017 17:30:0,
73,LHR,-,6,2,1,1,49,23,4/13/2017 6:0:0,4/15/2017 7:40:0,4/18/2017 0:30:0,
74,-,-,2,2,2,2,12,10,4/18/2017 0:30:0,4/18/2017 12:30:0,4/19/2017 0:30:0,
75,PVG,-,4,2,1,1,42,15,4/19/2017 5:50:0,4/21/2017 0:35:0,4/22/2017 9:30:0,
76,-,-,3,2,2,2,11,9,4/22/2017 12:30:0,4/22/2017 23:55:0,4/24/2017 17:30:0,
77,-,-,2,2,2,2,11,7,4/26/2017 0:55:0,4/26/2017 12:30:0,4/27/2017 0:30:0,
78,-,-,3,2,2,2,7,5,4/28/2017 16:55:0,4/29/2017 0:35:0,4/30/2017 0:10:0,
79,BAH,-,4,2,1,1,37,11,4/3/2017 12:0:0,4/5/2017 1:0:0,4/6/2017 0:10:0,
80,-,-,2,2,2,2,11,8,4/6/2017 0:10:0,4/6/2017 11:45:0,4/7/2017 12:29:0,
81,-,-,3,2,2,2,7,5,4/7/2017 16:50:0,4/8/2017 0:35:0,4/9/2017 0:10:0,
82,-,-,2,2,2,2,11,8,4/11/2017 0:35:0,4/11/2017 12:20:0,4/12/2017 12:29:0,
83,-,-,3,2,2,2,11,9,4/12/2017 12:30:0,4/12/2017 23:55:0,4/14/2017 17:30:0,
84,-,-,3,2,2,2,5,3,4/14/2017 17:50:0,4/14/2017 23:20:0,4/16/2017 0:10:0,
85,-,-,4,2,2,2,12,10,4/16/2017 11:55:0,4/17/2017 0:0:0,4/19/2017 0:30:0,
86,DOH,-,4,4,3,1,41,13,4/19/2017 6:55:0,4/21/2017 0:50:0,4/22/2017 0:10:0,
87,JED,-,4,2,1,1,39,13,4/25/2017 7:55:0,4/26/2017 23:15:0,4/28/2017 0:10:0,
88,-,-,2,2,2,2,10,8,4/7/2017 6:10:0,4/7/2017 16:20:0,4/8/2017 17:30:0,
