Pairing ID,	Main Layover, Sequence,	Pairing Length(in days), No.of Legs, Max LNj, Min LNj, Pairing Length(in duty hours), Pairing Length(in block hours), Start time ,End time, Rest End time
231,-,-,2,2,2,2,9,7,4/8/2017 6:35:0,4/8/2017 16:5:0,4/9/2017 17:30:0,
232,-,-,4,2,2,2,12,10,4/10/2017 11:50:0,4/10/2017 23:55:0,4/13/2017 0:30:0,
233,-,-,2,2,2,2,10,8,4/15/2017 7:10:0,4/15/2017 17:20:0,4/16/2017 17:30:0,
234,-,-,3,2,2,2,5,3,4/16/2017 18:25:0,4/17/2017 0:0:0,4/18/2017 0:10:0,
235,-,-,2,2,2,2,11,8,4/18/2017 0:35:0,4/18/2017 12:20:0,4/19/2017 12:29:0,
236,-,-,3,2,2,2,5,3,4/19/2017 17:50:0,4/19/2017 23:20:0,4/21/2017 0:10:0,
237,-,-,2,2,2,2,8,7,4/21/2017 1:40:0,4/21/2017 10:35:0,4/21/2017 22:35:0,
238,KMG,-,5,2,1,1,61,11,4/24/2017 11:45:0,4/27/2017 0:45:0,4/28/2017 0:10:0,
239,-,-,2,2,2,2,10,7,4/28/2017 0:55:0,4/28/2017 10:55:0,4/28/2017 22:55:0,
240,-,-,3,2,2,2,7,5,4/6/2017 16:50:0,4/7/2017 0:35:0,4/8/2017 0:10:0,
241,-,-,2,2,2,2,10,8,4/8/2017 0:35:0,4/8/2017 11:20:0,4/9/2017 12:29:0,
242,-,-,3,2,2,2,11,9,4/9/2017 12:30:0,4/9/2017 23:55:0,4/11/2017 17:30:0,
243,PEK,-,5,2,1,1,65,15,4/12/2017 6:45:0,4/15/2017 0:40:0,4/16/2017 9:30:0,
244,-,-,4,2,2,2,13,11,4/16/2017 11:45:0,4/17/2017 1:0:0,4/19/2017 0:30:0,
245,-,-,2,2,2,2,12,10,4/20/2017 0:30:0,4/20/2017 12:30:0,4/21/2017 0:30:0,
246,DOH,-,4,4,3,1,41,13,4/21/2017 6:55:0,4/23/2017 0:50:0,4/24/2017 0:10:0,
247,PVG,-,4,2,1,1,42,15,4/26/2017 5:50:0,4/28/2017 0:35:0,4/29/2017 9:30:0,
248,-,-,3,2,2,2,5,3,4/30/2017 17:50:0,4/30/2017 23:20:0,5/2/2017 0:10:0,
249,-,-,3,2,2,2,10,8,4/5/2017 13:20:0,4/6/2017 0:5:0,4/7/2017 0:10:0,
250,RUH,-,4,2,1,1,37,11,4/11/2017 11:25:0,4/13/2017 1:15:0,4/14/2017 0:10:0,
251,DOH,-,4,4,3,1,41,13,4/14/2017 6:55:0,4/16/2017 0:50:0,4/17/2017 0:10:0,
252,-,-,2,2,2,2,10,8,4/17/2017 0:35:0,4/17/2017 11:20:0,4/18/2017 12:29:0,
253,RUH,-,4,2,1,1,37,11,4/19/2017 11:25:0,4/21/2017 1:15:0,4/22/2017 0:10:0,
254,-,-,2,2,2,2,10,7,4/24/2017 0:55:0,4/24/2017 10:55:0,4/24/2017 22:55:0,
255,-,-,2,2,2,2,11,8,4/25/2017 5:25:0,4/25/2017 16:25:0,4/26/2017 12:29:0,
256,BKK,-,4,4,3,1,41,10,4/28/2017 12:5:0,4/30/2017 6:0:0,5/1/2017 12:0:0,
257,RUH,-,4,2,1,1,37,11,4/5/2017 11:25:0,4/7/2017 1:15:0,4/8/2017 0:10:0,
258,RUH,-,4,2,1,1,37,11,4/8/2017 11:25:0,4/10/2017 1:15:0,4/11/2017 0:10:0,
259,BKK,-,4,4,3,1,41,10,4/12/2017 12:5:0,4/14/2017 6:0:0,4/15/2017 12:0:0,
260,LHR,-,6,2,1,1,49,23,4/17/2017 6:0:0,4/19/2017 7:40:0,4/22/2017 0:30:0,
261,-,-,2,2,2,2,10,7,4/22/2017 0:55:0,4/22/2017 10:55:0,4/22/2017 22:55:0,
262,-,-,3,2,2,2,5,3,4/23/2017 18:25:0,4/24/2017 0:0:0,4/25/2017 0:10:0,
263,-,-,2,2,2,2,10,8,4/25/2017 0:40:0,4/25/2017 11:20:0,4/26/2017 12:29:0,
264,-,-,4,2,2,2,12,10,4/27/2017 11:50:0,4/27/2017 23:55:0,4/30/2017 0:30:0,
265,-,-,2,2,2,2,9,7,4/30/2017 6:35:0,4/30/2017 16:5:0,5/1/2017 17:30:0,
266,-,-,3,2,2,2,5,3,4/3/2017 18:5:0,4/3/2017 23:50:0,4/5/2017 0:10:0,
267,BKK,-,5,4,2,1,66,13,4/9/2017 0:20:0,4/11/2017 18:40:0,4/13/2017 0:40:0,
268,-,-,4,2,2,2,12,10,4/17/2017 11:55:0,4/18/2017 0:0:0,4/20/2017 0:30:0,
269,KWI,-,4,2,1,1,37,11,4/20/2017 11:25:0,4/22/2017 1:15:0,4/23/2017 0:10:0,
270,JED,-,4,2,1,1,39,13,4/23/2017 7:55:0,4/24/2017 23:15:0,4/26/2017 0:10:0,
271,SIN,-,4,4,3,1,42,11,4/28/2017 11:45:0,4/30/2017 6:5:0,5/1/2017 12:5:0,
272,PEK,-,4,2,1,1,42,16,4/7/2017 6:30:0,4/9/2017 0:40:0,4/10/2017 9:30:0,
273,-,-,4,2,2,2,12,10,4/15/2017 11:50:0,4/15/2017 23:55:0,4/18/2017 0:30:0,
274,-,-,1,2,2,2,11,9,4/18/2017 19:15:0,4/19/2017 6:20:0,4/19/2017 18:20:0,
275,-,-,2,2,2,2,10,8,4/20/2017 7:10:0,4/20/2017 17:20:0,4/21/2017 17:30:0,
276,RUH,-,4,2,1,1,37,11,4/23/2017 11:25:0,4/25/2017 1:15:0,4/26/2017 0:10:0,
277,BKK,-,5,4,2,1,66,13,4/26/2017 0:20:0,4/28/2017 18:40:0,4/30/2017 0:40:0,
278,JED,-,4,2,1,1,39,13,4/8/2017 7:55:0,4/9/2017 23:15:0,4/11/2017 0:10:0,
279,-,-,3,2,2,2,11,9,4/11/2017 12:30:0,4/11/2017 23:55:0,4/13/2017 17:30:0,
280,-,-,2,2,2,2,10,7,4/15/2017 0:55:0,4/15/2017 10:55:0,4/15/2017 22:55:0,
281,KWI,-,4,2,1,1,37,11,4/16/2017 11:25:0,4/18/2017 1:15:0,4/19/2017 0:10:0,
282,-,-,2,2,2,2,11,8,4/19/2017 0:40:0,4/19/2017 12:20:0,4/20/2017 12:29:0,
283,BKK,-,5,4,2,1,66,13,4/23/2017 0:20:0,4/25/2017 18:40:0,4/27/2017 0:40:0,
284,-,-,3,2,2,2,5,3,4/5/2017 18:5:0,4/5/2017 23:50:0,4/7/2017 0:10:0,
285,RUH,-,4,2,1,1,37,12,4/7/2017 11:25:0,4/9/2017 1:15:0,4/10/2017 0:10:0,
286,-,-,4,2,2,2,12,10,4/10/2017 11:55:0,4/11/2017 0:0:0,4/13/2017 0:30:0,
287,KUL,-,4,4,3,1,40,11,4/15/2017 12:0:0,4/17/2017 4:45:0,4/18/2017 10:45:0,
288,-,-,4,2,2,2,12,10,4/19/2017 11:55:0,4/20/2017 0:0:0,4/22/2017 0:30:0,
289,SIN,-,4,4,3,1,42,11,4/22/2017 11:50:0,4/24/2017 6:5:0,4/25/2017 12:5:0,
290,-,-,3,2,2,2,5,3,4/28/2017 17:50:0,4/28/2017 23:20:0,4/30/2017 0:10:0,
291,JED,-,4,2,1,1,39,13,4/4/2017 9:35:0,4/6/2017 1:10:0,4/7/2017 0:10:0,
292,LHR,-,6,2,1,1,49,23,4/8/2017 6:0:0,4/10/2017 7:40:0,4/13/2017 0:30:0,
293,-,-,2,2,2,2,9,7,4/13/2017 6:35:0,4/13/2017 16:5:0,4/14/2017 17:30:0,
294,SIN,-,4,4,3,1,42,11,4/15/2017 11:50:0,4/17/2017 6:5:0,4/18/2017 12:5:0,
295,-,-,3,2,2,2,5,3,4/18/2017 17:50:0,4/18/2017 23:20:0,4/20/2017 0:10:0,
296,-,-,4,2,2,2,12,10,4/20/2017 11:55:0,4/21/2017 0:0:0,4/23/2017 0:30:0,
297,-,-,2,2,2,2,10,8,4/23/2017 5:30:0,4/23/2017 16:25:0,4/24/2017 12:29:0,
298,KMG,-,5,2,1,1,61,11,4/26/2017 11:45:0,4/29/2017 0:45:0,4/30/2017 0:10:0,
299,-,-,4,2,2,2,12,10,4/3/2017 11:35:0,4/4/2017 0:0:0,4/6/2017 0:30:0,
300,KWI,-,4,2,1,1,37,11,4/7/2017 11:25:0,4/9/2017 1:15:0,4/10/2017 0:10:0,
301,SIN,-,4,4,3,1,42,11,4/10/2017 11:45:0,4/12/2017 6:5:0,4/13/2017 12:5:0,
302,-,-,3,2,2,2,5,3,4/15/2017 17:50:0,4/15/2017 23:20:0,4/17/2017 0:10:0,
303,-,-,2,2,2,2,12,10,4/17/2017 0:30:0,4/17/2017 12:30:0,4/18/2017 0:30:0,
304,-,-,2,2,2,2,9,7,4/19/2017 6:35:0,4/19/2017 16:5:0,4/20/2017 17:30:0,
305,LHR,-,6,2,1,1,49,23,4/21/2017 6:0:0,4/23/2017 7:40:0,4/26/2017 0:30:0,
306,-,-,3,2,2,2,11,9,4/26/2017 12:30:0,4/26/2017 23:55:0,4/28/2017 17:30:0,
307,BKK,-,4,4,3,1,42,10,4/5/2017 11:50:0,4/7/2017 6:0:0,4/8/2017 12:0:0,
308,-,-,3,2,2,2,7,5,4/8/2017 16:55:0,4/9/2017 0:35:0,4/10/2017 0:10:0,
309,-,-,1,2,2,2,11,9,4/11/2017 19:15:0,4/12/2017 6:20:0,4/12/2017 18:20:0,
310,-,-,2,2,2,2,10,8,4/13/2017 0:40:0,4/13/2017 11:20:0,4/14/2017 12:29:0,
311,NRT,-,6,2,1,1,47,19,4/14/2017 12:55:0,4/16/2017 12:45:0,4/19/2017 0:30:0,
312,KUL,-,4,4,3,1,40,11,4/21/2017 12:0:0,4/23/2017 4:45:0,4/24/2017 10:45:0,
313,DOH,-,4,2,1,1,36,10,4/25/2017 12:0:0,4/27/2017 0:50:0,4/28/2017 0:10:0,
314,-,-,2,2,2,2,10,7,4/29/2017 0:55:0,4/29/2017 10:55:0,4/29/2017 22:55:0,
315,-,-,4,2,2,2,12,10,4/30/2017 11:55:0,5/1/2017 0:0:0,5/3/2017 0:30:0,
316,NRT,-,6,2,1,1,48,19,4/7/2017 12:25:0,4/9/2017 12:45:0,4/12/2017 0:30:0,
317,-,-,2,2,2,2,10,8,4/13/2017 7:10:0,4/13/2017 17:20:0,4/14/2017 17:30:0,
318,-,-,3,2,2,2,5,3,4/14/2017 18:25:0,4/15/2017 0:0:0,4/16/2017 0:10:0,
319,RUH,-,4,2,1,1,37,11,4/17/2017 11:25:0,4/19/2017 1:15:0,4/20/2017 0:10:0,
320,-,-,2,2,2,2,10,8,4/21/2017 7:10:0,4/21/2017 17:20:0,4/22/2017 17:30:0,
321,-,-,4,2,2,2,12,10,4/23/2017 11:50:0,4/23/2017 23:55:0,4/26/2017 0:30:0,
322,-,-,3,2,2,2,5,3,4/28/2017 18:25:0,4/29/2017 0:0:0,4/30/2017 0:10:0,
323,JED,-,4,2,1,1,39,13,4/3/2017 9:35:0,4/5/2017 1:10:0,4/6/2017 0:10:0,
324,KMG,-,6,2,1,1,85,11,4/7/2017 11:45:0,4/11/2017 0:45:0,4/12/2017 0:10:0,
325,-,-,2,2,2,2,11,8,4/13/2017 5:25:0,4/13/2017 16:25:0,4/14/2017 12:29:0,
326,-,-,2,2,2,2,10,7,4/16/2017 0:55:0,4/16/2017 10:55:0,4/16/2017 22:55:0,
327,KUL,-,4,4,3,1,40,11,4/17/2017 12:0:0,4/19/2017 4:45:0,4/20/2017 10:45:0,
328,-,-,3,2,2,2,5,3,4/20/2017 17:50:0,4/20/2017 23:20:0,4/22/2017 0:10:0,
329,-,-,2,2,2,2,10,8,4/22/2017 0:35:0,4/22/2017 11:20:0,4/23/2017 12:29:0,
330,-,-,4,2,2,2,12,10,4/25/2017 11:50:0,4/25/2017 23:55:0,4/28/2017 0:30:0,
331,-,-,2,2,2,2,9,7,4/28/2017 6:35:0,4/28/2017 16:5:0,4/29/2017 17:30:0,
332,BKK,-,5,4,2,1,66,13,4/7/2017 0:20:0,4/9/2017 18:40:0,4/11/2017 0:40:0,
333,-,-,3,2,2,2,5,3,4/12/2017 17:50:0,4/12/2017 23:20:0,4/14/2017 0:10:0,
334,-,-,1,2,2,2,11,9,4/16/2017 19:15:0,4/17/2017 6:20:0,4/17/2017 18:20:0,
335,-,-,2,2,2,2,11,8,4/18/2017 5:25:0,4/18/2017 16:25:0,4/19/2017 12:29:0,
336,NRT,-,7,2,1,1,71,19,4/19/2017 12:55:0,4/22/2017 12:45:0,4/25/2017 0:30:0,
337,KWI,-,4,2,1,1,37,11,4/25/2017 11:25:0,4/27/2017 1:15:0,4/28/2017 0:10:0,
338,-,-,2,2,2,2,10,8,4/28/2017 7:10:0,4/28/2017 17:20:0,4/29/2017 17:30:0,
339,KUL,-,4,4,3,1,38,11,4/3/2017 12:0:0,4/5/2017 2:45:0,4/6/2017 8:45:0,
340,-,-,2,2,2,2,10,8,4/8/2017 0:40:0,4/8/2017 11:20:0,4/9/2017 12:29:0,
341,NRT,-,8,2,1,1,95,19,4/9/2017 12:55:0,4/13/2017 12:45:0,4/16/2017 0:30:0,
342,-,-,2,2,2,2,9,7,4/16/2017 6:35:0,4/16/2017 16:5:0,4/17/2017 17:30:0,
343,JED,-,4,2,1,1,40,13,4/19/2017 7:10:0,4/20/2017 23:15:0,4/22/2017 0:10:0,
344,-,-,2,2,2,2,11,8,4/22/2017 5:25:0,4/22/2017 16:25:0,4/23/2017 12:29:0,
345,-,-,3,2,2,2,11,9,4/24/2017 12:30:0,4/24/2017 23:55:0,4/26/2017 17:30:0,
346,-,-,2,2,2,2,9,7,4/27/2017 6:35:0,4/27/2017 16:5:0,4/28/2017 17:30:0,
347,-,-,2,2,2,2,11,8,4/29/2017 5:25:0,4/29/2017 16:25:0,4/30/2017 12:29:0,
348,PEK,-,5,2,1,1,65,15,4/8/2017 6:45:0,4/11/2017 0:40:0,4/12/2017 9:30:0,
349,-,-,3,2,2,2,7,5,4/12/2017 16:55:0,4/13/2017 0:35:0,4/14/2017 0:10:0,
350,-,-,2,2,2,2,11,9,4/14/2017 0:40:0,4/14/2017 12:30:0,4/15/2017 0:30:0,
351,JED,-,4,2,1,1,39,13,4/18/2017 7:55:0,4/19/2017 23:15:0,4/21/2017 0:10:0,
352,-,-,4,2,2,2,12,10,4/21/2017 11:55:0,4/22/2017 0:0:0,4/24/2017 0:30:0,
353,BKK,-,4,4,3,1,41,10,4/25/2017 12:5:0,4/27/2017 6:0:0,4/28/2017 12:0:0,
354,NRT,-,6,2,1,1,47,19,4/28/2017 12:55:0,4/30/2017 12:45:0,5/3/2017 0:30:0,
355,KUL,-,4,4,3,1,38,11,4/4/2017 12:0:0,4/6/2017 2:45:0,4/7/2017 8:45:0,
356,-,-,4,2,2,2,12,10,4/8/2017 11:55:0,4/9/2017 0:0:0,4/11/2017 0:30:0,
357,-,-,4,2,2,2,13,11,4/11/2017 11:45:0,4/12/2017 1:0:0,4/14/2017 0:30:0,
358,LHR,-,6,2,1,1,49,23,4/16/2017 6:0:0,4/18/2017 7:40:0,4/21/2017 0:30:0,
359,-,-,3,2,2,2,7,5,4/21/2017 16:55:0,4/22/2017 0:35:0,4/23/2017 0:10:0,
360,BKK,-,4,4,3,1,41,10,4/23/2017 12:5:0,4/25/2017 6:0:0,4/26/2017 12:0:0,
361,JED,-,5,2,1,1,63,13,4/27/2017 7:55:0,4/29/2017 23:25:0,5/1/2017 0:10:0,
362,LHR,-,4,3,2,1,59,24,4/3/2017 0:50:0,4/5/2017 12:20:0,4/6/2017 4:0:0,
363,KUL,-,4,4,3,1,40,11,4/8/2017 12:0:0,4/10/2017 4:45:0,4/11/2017 10:45:0,
364,-,-,3,2,2,2,5,3,4/11/2017 17:50:0,4/11/2017 23:20:0,4/13/2017 0:10:0,
365,-,-,4,2,2,2,13,11,4/15/2017 11:45:0,4/16/2017 1:0:0,4/18/2017 0:30:0,
366,JED,-,5,2,1,1,63,13,4/20/2017 7:55:0,4/22/2017 23:25:0,4/24/2017 0:10:0,
367,-,-,2,2,2,2,10,8,4/24/2017 7:10:0,4/24/2017 17:20:0,4/25/2017 17:30:0,
368,KUL,-,4,4,3,1,40,11,4/26/2017 12:0:0,4/28/2017 4:45:0,4/29/2017 10:45:0,
369,-,-,3,2,2,2,5,3,4/29/2017 17:50:0,4/29/2017 23:20:0,5/1/2017 0:10:0,
370,KUL,-,4,4,3,1,41,11,4/5/2017 12:0:0,4/7/2017 5:25:0,4/8/2017 11:25:0,
371,SIN,-,4,4,3,1,42,11,4/14/2017 11:45:0,4/16/2017 6:5:0,4/17/2017 12:5:0,
372,LHR,-,6,2,1,1,49,23,4/18/2017 6:0:0,4/20/2017 7:40:0,4/23/2017 0:30:0,
373,-,-,2,2,2,2,11,8,4/24/2017 5:25:0,4/24/2017 16:25:0,4/25/2017 12:29:0,
374,-,-,3,2,2,2,7,5,4/25/2017 16:55:0,4/26/2017 0:35:0,4/27/2017 0:10:0,
375,-,-,2,2,2,2,10,7,4/27/2017 0:55:0,4/27/2017 10:55:0,4/27/2017 22:55:0,
376,DOH,-,4,4,3,1,41,13,4/28/2017 6:55:0,4/30/2017 0:50:0,5/1/2017 0:10:0,
377,KUL,-,4,4,3,1,40,11,4/7/2017 12:0:0,4/9/2017 4:45:0,4/10/2017 10:45:0,
378,KWI,-,4,2,1,1,37,11,4/11/2017 11:25:0,4/13/2017 1:15:0,4/14/2017 0:10:0,
379,-,-,4,2,2,2,12,10,4/14/2017 11:50:0,4/14/2017 23:55:0,4/17/2017 0:30:0,
380,KWI,-,4,2,1,1,37,11,4/18/2017 11:25:0,4/20/2017 1:15:0,4/21/2017 0:10:0,
381,BKK,-,5,4,2,1,65,14,4/22/2017 0:30:0,4/24/2017 17:55:0,4/25/2017 23:55:0,
382,-,-,2,2,2,2,10,8,4/26/2017 7:10:0,4/26/2017 17:20:0,4/27/2017 17:30:0,
383,-,-,4,2,2,2,12,10,4/28/2017 11:50:0,4/28/2017 23:55:0,5/1/2017 0:30:0,
384,BKK,-,4,4,3,1,42,10,4/6/2017 11:50:0,4/8/2017 6:0:0,4/9/2017 12:0:0,
385,-,-,1,2,2,2,11,9,4/9/2017 19:15:0,4/10/2017 6:20:0,4/10/2017 18:20:0,
386,-,-,2,2,2,2,10,7,4/11/2017 0:55:0,4/11/2017 10:55:0,4/11/2017 22:55:0,
387,-,-,2,2,2,2,10,8,4/12/2017 5:30:0,4/12/2017 16:25:0,4/13/2017 12:29:0,
388,-,-,2,2,2,2,10,8,4/16/2017 5:30:0,4/16/2017 16:25:0,4/17/2017 12:29:0,
389,-,-,3,2,2,2,10,8,4/18/2017 13:20:0,4/19/2017 0:5:0,4/20/2017 0:10:0,
390,PVG,-,6,2,1,1,90,15,4/21/2017 5:50:0,4/25/2017 0:35:0,4/26/2017 9:30:0,
391,PEK,-,4,2,1,1,42,15,4/28/2017 5:55:0,4/30/2017 0:40:0,5/1/2017 9:30:0,
392,LHR,-,6,2,1,1,54,23,4/5/2017 0:50:0,4/7/2017 7:45:0,4/10/2017 0:30:0,
393,BKK,-,4,4,3,1,41,10,4/10/2017 12:5:0,4/12/2017 6:0:0,4/13/2017 12:0:0,
394,JED,-,4,2,1,1,39,13,4/15/2017 7:55:0,4/16/2017 23:15:0,4/18/2017 0:10:0,
395,-,-,4,2,2,2,13,11,4/22/2017 11:45:0,4/23/2017 1:0:0,4/25/2017 0:30:0,
396,NRT,-,7,2,1,1,71,19,4/26/2017 12:55:0,4/29/2017 12:45:0,5/2/2017 0:30:0,
397,KWI,-,4,2,1,1,37,11,4/5/2017 11:25:0,4/7/2017 1:15:0,4/8/2017 0:10:0,
398,JED,-,4,2,1,1,39,13,4/10/2017 7:55:0,4/11/2017 23:15:0,4/13/2017 0:10:0,
399,-,-,2,2,2,2,10,7,4/13/2017 0:55:0,4/13/2017 10:55:0,4/13/2017 22:55:0,
400,BKK,-,5,4,2,1,65,14,4/15/2017 0:30:0,4/17/2017 17:55:0,4/18/2017 23:55:0,
401,-,-,2,2,2,2,10,7,4/21/2017 0:55:0,4/21/2017 10:55:0,4/21/2017 22:55:0,
402,-,-,2,2,2,2,10,8,4/22/2017 7:10:0,4/22/2017 17:20:0,4/23/2017 17:30:0,
403,RUH,-,4,2,1,1,37,11,4/25/2017 11:25:0,4/27/2017 1:15:0,4/28/2017 0:10:0,
404,-,-,2,2,2,2,11,9,4/28/2017 0:40:0,4/28/2017 12:30:0,4/29/2017 0:30:0,
405,-,-,4,2,2,2,12,10,4/30/2017 11:50:0,4/30/2017 23:55:0,5/3/2017 0:30:0,
406,-,-,3,2,2,2,5,3,4/4/2017 18:5:0,4/4/2017 23:50:0,4/6/2017 0:10:0,
407,SIN,-,4,4,3,1,42,11,4/9/2017 11:45:0,4/11/2017 6:5:0,4/12/2017 12:5:0,
408,-,-,2,2,2,2,9,7,4/14/2017 6:35:0,4/14/2017 16:5:0,4/15/2017 17:30:0,
409,BKK,-,5,4,2,1,66,13,4/16/2017 0:20:0,4/18/2017 18:40:0,4/20/2017 0:40:0,
410,KMG,-,6,2,1,1,85,11,4/21/2017 11:45:0,4/25/2017 0:45:0,4/26/2017 0:10:0,
411,KWI,-,4,2,1,1,37,11,4/28/2017 11:25:0,4/30/2017 1:15:0,5/1/2017 0:10:0,
412,-,-,2,2,2,2,11,8,4/3/2017 0:35:0,4/3/2017 11:40:0,4/4/2017 12:29:0,
413,PVG,-,4,4,3,1,48,15,4/5/2017 0:45:0,4/7/2017 0:55:0,4/8/2017 9:30:0,
414,-,-,3,2,2,2,11,9,4/8/2017 12:30:0,4/8/2017 23:55:0,4/10/2017 17:30:0,
415,KUL,-,4,4,3,1,40,11,4/13/2017 12:0:0,4/15/2017 4:45:0,4/16/2017 10:45:0,
416,KUL,-,4,4,3,1,40,11,4/16/2017 12:0:0,4/18/2017 4:45:0,4/19/2017 10:45:0,
417,LHR,-,6,2,1,1,49,23,4/20/2017 6:0:0,4/22/2017 7:40:0,4/25/2017 0:30:0,
418,-,-,2,2,2,2,12,10,4/25/2017 0:30:0,4/25/2017 12:30:0,4/26/2017 0:30:0,
419,-,-,4,2,2,2,12,10,4/26/2017 11:50:0,4/26/2017 23:55:0,4/29/2017 0:30:0,
420,-,-,2,2,2,2,10,8,4/29/2017 0:40:0,4/29/2017 11:20:0,4/30/2017 12:29:0,
421,BKK,-,5,4,2,1,66,13,4/5/2017 0:20:0,4/7/2017 18:40:0,4/9/2017 0:40:0,
422,-,-,2,2,2,2,11,9,4/9/2017 0:40:0,4/9/2017 12:30:0,4/10/2017 0:30:0,
423,DOH,-,4,4,3,1,41,13,4/12/2017 6:55:0,4/14/2017 0:50:0,4/15/2017 0:10:0,
424,-,-,4,2,2,2,12,10,4/15/2017 11:55:0,4/16/2017 0:0:0,4/18/2017 0:30:0,
425,-,-,2,2,2,2,10,8,4/18/2017 7:10:0,4/18/2017 17:20:0,4/19/2017 17:30:0,
426,-,-,4,2,2,2,13,11,4/20/2017 11:45:0,4/21/2017 1:0:0,4/23/2017 0:30:0,
427,-,-,2,2,2,2,11,9,4/24/2017 0:40:0,4/24/2017 12:30:0,4/25/2017 0:30:0,
428,SIN,-,4,4,3,1,42,11,4/25/2017 11:45:0,4/27/2017 6:5:0,4/28/2017 12:5:0,
429,JED,-,4,2,1,1,39,13,4/29/2017 7:55:0,4/30/2017 23:15:0,5/2/2017 0:10:0,
430,KMG,-,5,2,1,1,61,11,4/3/2017 11:45:0,4/6/2017 0:45:0,4/7/2017 0:10:0,
431,-,-,2,2,2,2,10,8,4/7/2017 0:35:0,4/7/2017 11:30:0,4/8/2017 12:29:0,
432,JED,-,4,2,1,1,39,13,4/9/2017 7:55:0,4/10/2017 23:15:0,4/12/2017 0:10:0,
433,PVG,-,4,2,1,1,42,15,4/12/2017 5:50:0,4/14/2017 0:35:0,4/15/2017 9:30:0,
434,-,-,2,2,2,2,11,9,4/17/2017 0:40:0,4/17/2017 12:30:0,4/18/2017 0:30:0,
435,RUH,-,4,2,1,1,37,11,4/18/2017 11:25:0,4/20/2017 1:15:0,4/21/2017 0:10:0,
436,-,-,1,2,2,2,11,9,4/23/2017 19:15:0,4/24/2017 6:20:0,4/24/2017 18:20:0,
437,-,-,2,2,2,2,10,8,4/28/2017 0:35:0,4/28/2017 11:20:0,4/29/2017 12:29:0,
438,-,-,2,2,2,2,12,10,4/30/2017 0:30:0,4/30/2017 12:30:0,5/1/2017 0:30:0,
439,JED,-,5,2,1,1,61,13,4/6/2017 9:35:0,4/8/2017 23:25:0,4/10/2017 0:10:0,
440,-,-,2,2,2,2,10,7,4/10/2017 0:55:0,4/10/2017 10:55:0,4/10/2017 22:55:0,
441,PEK,-,4,2,1,1,42,15,4/14/2017 5:55:0,4/16/2017 0:40:0,4/17/2017 9:30:0,
442,BKK,-,4,4,3,1,41,10,4/17/2017 12:5:0,4/19/2017 6:0:0,4/20/2017 12:0:0,
443,KUL,-,4,4,3,1,40,11,4/23/2017 12:0:0,4/25/2017 4:45:0,4/26/2017 10:45:0,
444,-,-,4,2,2,2,13,11,4/27/2017 11:45:0,4/28/2017 1:0:0,4/30/2017 0:30:0,
445,-,-,3,2,2,2,5,3,4/30/2017 18:25:0,5/1/2017 0:0:0,5/2/2017 0:10:0,
446,BKK,-,5,4,2,1,65,14,4/6/2017 0:30:0,4/8/2017 17:55:0,4/9/2017 23:55:0,
447,KMG,-,5,2,1,1,61,11,4/10/2017 11:45:0,4/13/2017 0:45:0,4/14/2017 0:10:0,
448,RUH,-,4,2,1,1,37,11,4/16/2017 11:25:0,4/18/2017 1:15:0,4/19/2017 0:10:0,
449,NRT,-,6,2,1,1,47,19,4/21/2017 12:55:0,4/23/2017 12:45:0,4/26/2017 0:30:0,
450,-,-,2,2,2,2,10,8,4/26/2017 5:30:0,4/26/2017 16:25:0,4/27/2017 12:29:0,
451,-,-,3,2,2,2,5,3,4/27/2017 17:50:0,4/27/2017 23:20:0,4/29/2017 0:10:0,
452,KWI,-,4,2,1,1,37,11,4/3/2017 11:25:0,4/5/2017 1:15:0,4/6/2017 0:10:0,
453,-,-,2,2,2,2,10,8,4/7/2017 7:20:0,4/7/2017 17:20:0,4/8/2017 17:30:0,
454,BKK,-,5,4,2,1,66,14,4/10/2017 0:30:0,4/12/2017 18:40:0,4/14/2017 0:40:0,
455,KUL,-,4,4,3,1,40,11,4/14/2017 12:0:0,4/16/2017 4:45:0,4/17/2017 10:45:0,
456,SIN,-,4,4,3,1,42,11,4/18/2017 11:45:0,4/20/2017 6:5:0,4/21/2017 12:5:0,
457,-,-,2,2,2,2,10,7,4/23/2017 0:55:0,4/23/2017 10:55:0,4/23/2017 22:55:0,
458,-,-,4,2,2,2,12,10,4/24/2017 11:55:0,4/25/2017 0:0:0,4/27/2017 0:30:0,
459,-,-,2,2,2,2,11,8,4/27/2017 0:35:0,4/27/2017 12:20:0,4/28/2017 12:29:0,
460,-,-,2,2,2,2,11,9,4/29/2017 1:15:0,4/29/2017 12:20:0,4/30/2017 0:20:0,
461,DOH,-,4,2,1,1,37,10,4/3/2017 11:55:0,4/5/2017 0:55:0,4/6/2017 0:10:0,
462,SIN,-,4,4,3,1,42,11,4/6/2017 12:5:0,4/8/2017 6:5:0,4/9/2017 12:5:0,
463,DOH,-,4,4,3,1,41,13,4/10/2017 6:55:0,4/12/2017 0:50:0,4/13/2017 0:10:0,
464,-,-,2,2,2,2,11,9,4/13/2017 1:15:0,4/13/2017 12:20:0,4/14/2017 0:20:0,
465,-,-,2,2,2,2,11,9,4/16/2017 0:40:0,4/16/2017 12:30:0,4/17/2017 0:30:0,
466,-,-,4,2,2,2,12,10,4/17/2017 11:50:0,4/17/2017 23:55:0,4/20/2017 0:30:0,
